BenefitID,Outcome,ValueMeasurementUnit,BaselineTargetValue,CurrentTargetValue,ActualValue,Source,Owner,StartDate,OriginalEstimatedCompletionDate,CurrentEstimatedCompletionDate,MonitoringPlan,RAGStatus,ProjectSource,BenefitRecordedDate,Narrative,BenefitStage,Location
20,Residential Area - Mobile Homes Enhanced,Number,824,1080,785,Source_1,Lori Perez,04/08/2023,07/11/2023,05/11/2023,Monthly,R,Project_Charlie,25/06/2023,,Not Started,"32.00997349152252, -26.61348773166183"
21,Non-Residential Area (Public Services) - Nurseries Created,Number,4,4,3,Source_2,Mckenzie Browning,24/11/2022,05/01/2023,23/12/2022,Weekly,G,Project_Delta,24/06/2023,,Completion,"33.11726855262631, -25.4763947906281"
22,Non-Residential Area (Public Services) - Fire Stations Enhanced,Number,3,2,2,Source_2,Tonya Rodriguez,10/04/2023,24/07/2023,25/09/2023,Fortnightly,G,Project_Golf,29/06/2023,,In-Progress,"36.523773533895366, -22.19752514261035"
23,Non-Residential Area (Public Services) - Schools (Primary) Created,Number,0,3,3,Source_1,Ana Jones,26/01/2023,09/08/2023,21/07/2023,Monthly,G,Project_Golf,20/06/2023,,In-Progress,"36.29382758156347, -22.29122155041612"
24,Transport - Foot Paths Enhanced,Kilometre (km),164,288,307,Source_2,Larry Sullivan,19/02/2023,29/11/2023,24/11/2023,Fortnightly,G,Project_Alpha,19/06/2023,,In-Progress,"30.143489528604338, -28.312985538415187"
25,Heritage - Conservation Area Better Protected,Hectare (ha),4936,3600,3491,Source_2,Melissa Reyes,08/05/2023,23/10/2023,03/12/2023,Quarterly,G,Project_Hotel,24/08/2023,,In-Progress,"37.71631033763604, -21.849058032226708"
26,Local Community - Education Enhanced,Pounds [Thousands] per person (£k / person),546,360,33,Source_1,Brandon Wood,10/01/2023,02/02/2023,03/02/2023,Monthly,G,Project_Golf,27/06/2023,,Completion,"36.17945965793207, -22.366369170960127"
27,Non-Residential Area (Commerce) - Shops Better Protected,Number,215,144,51,Source_5,Juan Ramirez,11/11/2022,16/03/2023,18/03/2023,Fortnightly,G,Project_Hotel,28/06/2023,,Completion,"37.758632298437554, -21.2416279251556"
28,Residential Area - Houses Created,Number,4114,3600,2091,Source_1,Tracey King,31/03/2023,09/09/2023,08/10/2023,Quarterly,G,Project_Bravo,19/06/2023,,Completion,"31.31534357628231, -27.018444577480654"
29,Non-Residential Area (Commerce) - Shops Enhanced,Number,215,144,50,Source_2,Samuel Curry,30/11/2022,16/03/2023,18/03/2023,Quarterly,G,Project_Foxtrot,26/08/2023,,Completion,"35.85279452775147, -23.959630219909307"
30,Non-Residential Area (Administrative) - Administrative Buildings Created,Number,4,3,1,Source_2,Mrs. Amy Roberts,28/01/2023,01/03/2023,18/02/2023,Quarterly,G,Project_Hotel,26/08/2023,,Completion,"37.50528228138198, -21.588734639324446"
31,Transport - Local Roads Better Protected,Kilometre (km),437,360,50,Source_2,Tonya Rodriguez,29/04/2023,16/06/2023,16/05/2023,Quarterly,G,Project_Golf,14/08/2023,,Completion,"36.03315614763421, -22.978884355879273"
32,Non-Residential Area (Public Services) - Schools (Secondary) Enhanced,Number,3,2,2,Source_2,Darius Hernandez,06/05/2023,03/07/2023,13/06/2023,Monthly,R,Project_Delta,12/07/2023,,In-Progress,"33.67479964955568, -25.532699384022376"
33,Residential Area - Mobile Homes Created,Number,824,1080,1059,Source_2,Brianna Little,11/05/2023,07/11/2023,05/11/2023,Monthly,G,Project_Delta,04/07/2023,,In-Progress,"33.85706665830159, -25.871084381706122"
34,Transport - Foot Paths Created,Kilometre (km),164,288,79,Source_2,Andrew Valentine,26/02/2023,29/11/2023,24/11/2023,Monthly,G,Project_Bravo,01/07/2023,,Completion,"31.31325040875806, -27.835674255213245"
35,Non-Residential Area (Commerce) - Leisure Centres Created,Number,6,6,7,Source_5,Mrs. Amy Roberts,06/02/2023,01/06/2023,07/03/2023,Fortnightly,G,Project_Hotel,02/07/2023,,Completion,"37.37517425977756, -21.32882430437769"
36,Non-Residential Area (Commerce) - Sports Centres Enhanced,Number,5,3,4,Source_1,Madison Bennett,11/08/2023,16/10/2023,13/09/2023,Fortnightly,R,Project_Charlie,26/06/2023,,Not Started,"32.99361150476259, -26.399077045803075"
37,Biodiversity - Forests Better Protected,Hectare (ha),245,540,678,Source_2,Darius Hernandez,21/02/2023,16/05/2023,25/03/2023,Monthly,G,Project_Delta,13/07/2023,,Completion,"33.92496566607486, -25.138917942869003"
38,Local Community - Physical health Enhanced,Pounds [Thousands] per person (£k / person),306,360,303,Source_3,Mariah Sweeney,09/01/2023,06/05/2023,16/06/2023,Weekly,G,Project_Hotel,20/06/2023,,Completion,"37.68738258149239, -21.988804758211582"
39,Local Community - Mental health Better Protected,Pounds [Thousands] per person (£k / person),416,360,20,Source_1,Johnny Hernandez DDS,07/02/2023,30/11/2023,19/11/2023,Daily,G,Project_Bravo,19/06/2023,,In-Progress,"31.616057172084762, -27.906367054905456"
40,Biodiversity - Rivers Better Protected,Kilometre (km),364,432,330,Source_2,Abigail Reyes,16/10/2022,09/12/2023,27/11/2023,Weekly,G,Project_Echo,24/06/2023,,In-Progress,"34.1084918156703, -24.907412912923068"
41,Financial Damages (Environmental) Reduced,Pounds [Thousands] (£k),204,144,82,Source_1,Samuel Curry,21/10/2022,11/11/2023,21/10/2023,Weekly,G,Project_Foxtrot,25/06/2023,,In-Progress,"35.05048009446853, -23.211847177492704"
42,Non-Residential Area (Transport) - Train Stations Created,Number,15,11,14,Source_4,Mariah Sweeney,27/11/2022,22/01/2023,18/01/2023,Monthly,G,Project_Hotel,02/07/2023,,Completion,"37.5067691212784, -21.611853178598437"
43,Transport - Foot Paths Created,Kilometre (km),164,288,99,Source_2,Ana Jones,28/04/2023,29/11/2023,24/11/2023,Weekly,G,Project_Golf,22/06/2023,,Completion,"36.41969820082362, -22.165963032298897"
44,Residential Area - Mixed Created,Number,4316,5040,4669,Source_2,Ana Jones,16/02/2023,05/07/2023,15/06/2023,Monthly,G,Project_Golf,09/07/2023,,Completion,"36.40890869883238, -22.036790054325568"
45,Non-Residential Area (Public Services) - Police Stations Enhanced,Number,3,2,2,Source_2,Johnny Hernandez DDS,31/07/2023,28/10/2023,08/11/2023,Weekly,R,Project_Bravo,23/06/2023,,Not Started,"31.14961956376859, -27.42799775828204"
46,Flood Risk (Coastal) Better Protected,Hectare (ha),370,288,387,Source_2,Brianna Little,30/10/2022,05/12/2023,27/11/2023,Weekly,G,Project_Delta,22/06/2023,,Completion,"33.03105340011536, -25.48304179983091"
47,Agricultural Lands Enhanced,Hectare (ha),344,252,67,Source_3,Tracey King,08/02/2023,11/03/2023,13/03/2023,Monthly,G,Project_Bravo,25/06/2023,,Completion,"31.67025548994572, -27.177320630090907"
48,Transport - Foot Paths Enhanced,Kilometre (km),164,288,366,Source_3,Brianna Little,13/07/2023,29/11/2023,24/11/2023,Fortnightly,R,Project_Delta,24/06/2023,,Not Started,"33.69663793417364, -25.525173075275"
49,Non-Residential Area (Transport) - Bus Stations Enhanced,Number,69,58,64,Source_1,Samuel Curry,30/12/2022,14/10/2023,30/09/2023,Fortnightly,G,Project_Foxtrot,28/06/2023,,Completion,"35.63106502524079, -23.156620271597475"
50,Biodiversity - Coastal Better Protected,Hectare (ha),489,576,418,Source_2,Brandon Wood,01/06/2023,26/08/2023,20/08/2023,Fortnightly,G,Project_Golf,19/06/2023,,In-Progress,"36.99217409263731, -22.129041684080168"
51,Non-Residential Area (Transport) - Ports and Harbours Better Protected,Number,0,2,0,Source_3,Brianna Little,22/03/2023,26/10/2023,19/11/2023,Fortnightly,G,Project_Delta,02/07/2023,,Completion,"33.06584410282519, -25.61571923748114"
52,Non-Residential Area (Public Services) - Schools (Secondary) Created,Number,3,2,2,Source_3,James Walters,24/12/2022,03/07/2023,13/06/2023,Daily,G,Project_Foxtrot,19/06/2023,,Completion,"35.79855101603436, -23.581329003250897"
53,Biodiversity - Coastal Better Protected,Hectare (ha),489,576,393,Source_2,Mckenzie Browning,08/07/2023,26/08/2023,20/08/2023,Monthly,A,Project_Delta,19/06/2023,,Not Started,"33.41020856022737, -25.41818400986653"
54,Non-Residential Area (Public Services) - GP Surgeries Better Protected,Number,3,3,1,Source_2,Kenneth Shields,12/12/2022,17/09/2023,24/10/2023,Weekly,G,Project_Alpha,24/06/2023,,In-Progress,"30.158918884050287, -28.883505168054747"
55,Local Landscape Better Protected,Hectare (ha),1632,1440,700,Source_2,Mckenzie Browning,28/12/2022,25/01/2023,31/01/2023,Fortnightly,G,Project_Delta,22/06/2023,,Completion,"33.892324933119525, -25.54878714233229"
56,Non-Residential Area (Public Services) - Police Stations Created,Number,3,2,2,Source_1,Abigail Reyes,19/12/2022,28/10/2023,08/11/2023,Monthly,G,Project_Echo,28/06/2023,,In-Progress,"34.5456343733433, -24.804742785902835"
57,Residential Area - Flats Created,Number,1741,3240,3266,Source_1,Johnny Hernandez DDS,11/01/2023,23/06/2023,08/08/2023,Fortnightly,G,Project_Bravo,28/06/2023,,Completion,"31.319719361935945, -27.607068898686492"
58,Non-Residential Area (Industry) - Offices Created,Number,127,216,208,Source_4,Jessica Nelson MD,18/01/2023,24/02/2023,07/03/2023,Fortnightly,G,Project_Echo,26/06/2023,,Completion,"34.73906928800329, -24.405425709589817"
59,Transport - Local Roads Better Protected,Kilometre (km),437,360,213,Source_2,Mariah Sweeney,06/04/2023,16/06/2023,16/05/2023,Weekly,G,Project_Hotel,24/06/2023,,Completion,"37.08599804384306, -21.25497743177033"
60,Non-Residential Area (Public Services) - GP Surgeries Created,Number,3,3,0,Source_3,Juan Ramirez,03/07/2023,17/09/2023,24/10/2023,Weekly,R,Project_Hotel,20/06/2023,,Not Started,"37.964880017007836, -21.013822384990338"
61,Local Community - Disadvantaged Population Better Protected,Pounds [Thousands] per person (£k / person),260,360,325,Source_1,Larry Sullivan,23/01/2023,03/09/2023,25/07/2023,Monthly,G,Project_Alpha,27/06/2023,,In-Progress,"30.75368674943076, -28.258000346989064"
62,Non-Residential Area (Commerce) - Swimming Pools Better Protected,Number,5,3,1,Source_2,Evelyn Guzman,31/12/2022,24/06/2023,07/07/2023,Daily,G,Project_Foxtrot,19/06/2023,,Completion,"35.907971695928474, -23.7134602178054"
63,Non-Residential Area (Industry) - Warehouses Better Protected,Number,46,36,39,Source_2,Marcus Calderon,03/06/2023,21/08/2023,23/10/2023,Weekly,G,Project_Echo,22/06/2023,,In-Progress,"34.068752319828825, -24.37945728893015"
64,Transport - Local Roads Enhanced,Kilometre (km),437,360,344,Source_2,Jessica Nelson MD,23/04/2023,16/06/2023,16/05/2023,Fortnightly,G,Project_Echo,21/06/2023,,Completion,"34.93225515564474, -24.203490011754397"
65,Local Community - Physical health Enhanced,Pounds [Thousands] per person (£k / person),306,360,413,Source_2,Marcus Calderon,15/12/2022,06/05/2023,16/06/2023,Weekly,G,Project_Echo,20/06/2023,,In-Progress,"34.858346990613924, -24.63590617996822"
66,Transport - Cycle Paths Enhanced,Kilometre (km),279,288,192,Source_1,Larry Sullivan,11/12/2022,28/08/2023,26/07/2023,Fortnightly,G,Project_Alpha,25/06/2023,,In-Progress,"30.120036191275066, -28.881388553449025"
67,Non-Residential Area (Utility) - Oil and Gas Storage and Distribution Buildings Enhanced,Number,8,8,5,Source_2,Lori Perez,09/03/2023,04/12/2023,11/11/2023,Fortnightly,G,Project_Charlie,24/06/2023,,In-Progress,"32.995140501848894, -26.732920976971602"
68,Non-Residential Area (Industry) - Offices Created,Number,127,216,171,Source_2,Johnny Hernandez DDS,20/02/2023,24/02/2023,07/03/2023,Monthly,G,Project_Bravo,14/07/2023,,Completion,"31.306492692037146, -27.31592821122197"
69,Non-Residential Area (Public Services) - Libraries Better Protected,Number,7,6,5,Source_1,Lori Perez,07/04/2023,19/06/2023,09/07/2023,Weekly,A,Project_Charlie,22/06/2023,,In-Progress,"32.72278130754089, -26.912419153660988"
70,Non-Residential Area (Utility) - Power and Sub-Station Structures Created,Number,9,15,0,Source_2,Kenneth Shields,08/02/2023,22/12/2023,20/11/2023,Fortnightly,G,Project_Alpha,22/06/2023,,Completion,"30.820725623680264, -28.668067934435562"
71,Local Community - Physical health Better Protected,Pounds [Thousands] per person (£k / person),306,360,481,Source_1,Larry Sullivan,14/02/2023,06/05/2023,16/06/2023,Weekly,G,Project_Alpha,20/06/2023,,Completion,"30.671085803198572, -28.41835080777176"
72,Non-Residential Area (Public Services) - GP Surgeries Enhanced,Number,3,3,0,Source_3,Marcus Calderon,01/11/2022,17/09/2023,24/10/2023,Fortnightly,G,Project_Echo,21/06/2023,,Completion,"34.13431514890194, -24.90091896875174"
73,Non-Residential Area (Public Services) - Libraries Enhanced,Number,7,6,8,Source_3,Samuel Curry,25/04/2023,19/06/2023,09/07/2023,Daily,G,Project_Foxtrot,19/06/2023,,In-Progress,"35.95037427632747, -23.701527983798147"
74,Financial Damages (Environmental) Reduced,Pounds [Thousands] (£k),204,144,155,Source_2,Darius Hernandez,29/07/2023,11/11/2023,21/10/2023,Monthly,R,Project_Delta,14/07/2023,,Not Started,"33.969293597968615, -25.100522195506333"
75,Non-Residential Area (Public Services) - Schools (Secondary) Created,Number,3,2,2,Source_1,Alexis Hernandez,13/04/2023,03/07/2023,13/06/2023,Weekly,G,Project_Charlie,25/06/2023,,Completion,"32.73308552507834, -26.691651723392667"
76,Non-Residential Area (Public Services) - Fire Stations Enhanced,Number,3,2,2,Source_2,Brianna Little,04/07/2023,24/07/2023,25/09/2023,Daily,A,Project_Delta,19/06/2023,,Not Started,"33.279409387167874, -25.404396434387465"
77,Financial Damages (Lost Opportunity) Reduced,Pounds [Thousands] (£k),217,144,2,Source_2,Meredith Abbott,25/11/2022,30/12/2023,21/11/2023,Weekly,G,Project_Foxtrot,22/06/2023,,Completion,"35.40134013063849, -23.704920820934205"
78,Local Community - Education Enhanced,Pounds [Thousands] per person (£k / person),546,360,286,Source_1,Andrew Valentine,01/01/2023,02/02/2023,03/02/2023,Daily,G,Project_Bravo,19/06/2023,,Completion,"31.869836467233576, -27.6385422725356"
79,Transport - Cycle Paths Created,Kilometre (km),279,288,144,Source_1,Meredith Abbott,19/04/2023,28/08/2023,26/07/2023,Fortnightly,G,Project_Foxtrot,01/07/2023,,In-Progress,"35.642363190723934, -23.956833779757133"
80,Non-Residential Area (Commerce) - Swimming Pools Better Protected,Number,5,3,1,Source_2,Tonya Rodriguez,24/04/2023,24/06/2023,07/07/2023,Daily,G,Project_Golf,19/06/2023,,Completion,"36.85047881267194, -22.032688768340396"
81,Non-Residential Area (Utility) - Water and Sewage Treatment Buildings Better Protected,Number,10,8,0,Source_2,Larry Sullivan,02/01/2023,08/11/2023,16/12/2023,Weekly,G,Project_Alpha,21/06/2023,,Completion,"30.281535842914266, -28.832183256152383"
82,Agricultural Lands Better Protected,Hectare (ha),344,252,179,Source_2,Evelyn Guzman,03/01/2023,11/03/2023,13/03/2023,Fortnightly,G,Project_Foxtrot,27/06/2023,,Completion,"35.65576509087628, -23.118697930427814"
83,Non-Residential Area (Public Services) - Police Stations Better Protected,Number,3,2,2,Source_1,Kenneth Shields,24/06/2023,28/10/2023,08/11/2023,Fortnightly,R,Project_Alpha,02/07/2023,,Not Started,"30.874077732557666, -28.864580733732673"
84,Local Community - Sustainability Better Protected,Pounds [Thousands] per person (£k / person),147,360,428,Source_1,Alexis Hernandez,15/08/2023,30/10/2023,08/10/2023,Fortnightly,R,Project_Charlie,21/06/2023,,Not Started,"32.28241058464999, -26.077556022606025"
85,Non-Residential Area (Industry) - Warehouses Enhanced,Number,46,36,33,Source_3,Tracey King,05/03/2023,21/08/2023,23/10/2023,Monthly,G,Project_Bravo,08/07/2023,,In-Progress,"31.857858347049742, -27.227190042182908"
86,Non-Residential Area (Public Services) - Hospitals Better Protected,Number,0,3,3,Source_2,Mckenzie Browning,20/05/2023,07/11/2023,19/09/2023,Fortnightly,G,Project_Delta,30/06/2023,,In-Progress,"33.77296387109223, -25.436308830945976"
87,Non-Residential Area (Transport) - Bus Stations Created,Number,69,58,79,Source_2,Larry Sullivan,17/11/2022,14/10/2023,30/09/2023,Weekly,G,Project_Alpha,20/06/2023,,Completion,"30.472786698007727, -28.494772389831496"
88,Non-Residential Area (Industry) - Warehouses Better Protected,Number,46,36,30,Source_1,Brandon Wood,11/04/2023,21/08/2023,23/10/2023,Daily,G,Project_Golf,19/06/2023,,In-Progress,"36.44934490998029, -22.94566742395673"
89,Heritage - Conservation Area Better Protected,Hectare (ha),4936,3600,2651,Source_2,Ana Jones,19/01/2023,23/10/2023,03/12/2023,Fortnightly,G,Project_Golf,27/06/2023,,Completion,"36.9748579203114, -22.392542832303473"
90,Local Landscape Better Protected,Hectare (ha),1632,1440,696,Source_2,Juan Ramirez,28/12/2022,25/01/2023,31/01/2023,Weekly,G,Project_Hotel,25/06/2023,,Completion,"37.09528043729098, -21.13790521904668"
91,Non-Residential Area (Industry) - Warehouses Enhanced,Number,46,36,29,Source_2,Kenneth Shields,03/11/2022,21/08/2023,23/10/2023,Fortnightly,G,Project_Alpha,23/06/2023,,Completion,"30.42988584318166, -28.830469483740053"
92,Non-Residential Area (Industry) - Offices Created,Number,127,216,49,Source_2,Meredith Abbott,18/10/2022,24/02/2023,07/03/2023,Monthly,G,Project_Foxtrot,12/07/2023,,Completion,"35.0244316060847, -23.173268619718247"
93,Residential Area - Mobile Homes Created,Number,824,1080,1435,Source_1,Jessica Nelson MD,23/02/2023,07/11/2023,05/11/2023,Fortnightly,G,Project_Echo,26/06/2023,,In-Progress,"34.31020721754319, -24.835322593656517"
94,Local Community - Education Better Protected,Pounds [Thousands] per person (£k / person),546,360,103,Source_2,Jessica Nelson MD,12/12/2022,02/02/2023,03/02/2023,Weekly,G,Project_Echo,25/06/2023,,Completion,"34.295211467831066, -24.995311944096347"
95,Non-Residential Area (Public Services) - Schools (Primary) Created,Number,0,3,0,Source_2,Brianna Little,10/04/2023,09/08/2023,21/07/2023,Monthly,G,Project_Delta,11/07/2023,,Completion,"33.340050916376285, -25.9597724163297"
96,Transport - Railway Lines Enhanced,Kilometre (km),307,216,292,Source_4,Jessica Nelson MD,02/02/2023,28/04/2023,09/03/2023,Weekly,G,Project_Echo,19/06/2023,,Completion,"34.763704476053114, -24.47254965006845"
97,Transport - Railway Lines Enhanced,Kilometre (km),307,216,86,Source_2,Brianna Little,12/11/2022,28/04/2023,09/03/2023,Daily,G,Project_Delta,19/06/2023,,Completion,"33.79636163719551, -25.628054019523677"
98,Transport - Local Roads Enhanced,Kilometre (km),437,360,301,Source_2,Evelyn Guzman,11/04/2023,16/06/2023,16/05/2023,Quarterly,R,Project_Foxtrot,16/09/2023,,In-Progress,"35.276085597690816, -23.3799900897851"
99,Non-Residential Area (Commerce) - Swimming Pools Created,Number,5,3,1,Source_2,Rodney Moore PhD,12/03/2023,24/06/2023,07/07/2023,Fortnightly,A,Project_Alpha,24/06/2023,,In-Progress,"30.522374716849598, -28.72240465121885"
100,Agricultural Lands Better Protected,Hectare (ha),344,252,197,Source_1,Brandon Wood,09/02/2023,11/03/2023,13/03/2023,Daily,G,Project_Golf,19/06/2023,,Completion,"36.81445319096396, -22.893759148838953"
101,Non-Residential Area (Transport) - Ports and Harbours Enhanced,Number,0,2,0,Source_2,Ana Jones,26/01/2023,26/10/2023,19/11/2023,Fortnightly,G,Project_Golf,22/06/2023,,Completion,"36.45982821712203, -22.3947950310712"
102,Local Community - Mental health Enhanced,Pounds [Thousands] per person (£k / person),416,360,318,Source_1,Lori Perez,16/11/2023,30/11/2023,19/11/2023,Weekly,R,Project_Charlie,21/06/2023,,Not Started,"32.55530549610284, -26.07805159464168"
103,Residential Area - Houses Better Protected,Number,4114,3600,2757,Source_1,Mckenzie Browning,09/07/2023,09/09/2023,08/10/2023,Fortnightly,R,Project_Delta,27/06/2023,,Not Started,"33.478565566822596, -25.291661104019305"
104,Non-Residential Area (Transport) - Bus Stations Better Protected,Number,69,58,1,Source_1,Brittney Johnson,03/08/2023,14/10/2023,30/09/2023,Weekly,A,Project_Charlie,19/06/2023,,Not Started,"32.56777547541736, -26.128323846637322"
105,Biodiversity - Forests Better Protected,Hectare (ha),245,540,472,Source_2,Larry Sullivan,06/01/2023,16/05/2023,25/03/2023,Fortnightly,R,Project_Alpha,24/06/2023,,In-Progress,"30.977164083062842, -28.797942693219593"
106,Biodiversity - Coastal Better Protected,Hectare (ha),489,576,218,Source_2,Rachel Smith,30/04/2023,26/08/2023,20/08/2023,Fortnightly,G,Project_Charlie,27/06/2023,,Completion,"32.614694429204015, -26.425394094681856"
107,Non-Residential Area (Public Services) - Post Offices Created,Number,9,8,10,Source_1,James Walters,27/02/2023,13/08/2023,22/09/2023,Daily,G,Project_Foxtrot,19/06/2023,,In-Progress,"35.6620255081212, -23.005697894246474"
108,Local Community - Mental health Better Protected,Pounds [Thousands] per person (£k / person),416,360,295,Source_1,Jessica Nelson MD,16/03/2023,30/11/2023,19/11/2023,Fortnightly,G,Project_Echo,29/06/2023,,In-Progress,"34.55363058681013, -24.334391282865496"
109,Non-Residential Area (Public Services) - Police Stations Better Protected,Number,3,2,1,Source_2,Brandon Wood,24/01/2023,28/10/2023,08/11/2023,Weekly,G,Project_Golf,21/06/2023,,In-Progress,"36.21410948450838, -22.481427582885008"
110,Non-Residential Area (Industry) - Offices Created,Number,127,216,64,Source_2,Brianna Little,26/11/2022,24/02/2023,07/03/2023,Weekly,G,Project_Delta,22/06/2023,,Completion,"33.85959644179427, -25.587547477121497"
111,Biodiversity - Rivers Better Protected,Kilometre (km),364,432,187,Source_1,Tracey King,04/09/2023,09/12/2023,27/11/2023,Weekly,R,Project_Bravo,24/06/2023,,Not Started,"31.120662342396393, -27.146195224939884"
112,Non-Residential Area (Commerce) - Shops Enhanced,Number,215,144,105,Source_1,Rodney Moore PhD,16/11/2022,16/03/2023,18/03/2023,Weekly,G,Project_Alpha,23/06/2023,,Completion,"30.871174598910216, -28.050887297772693"
113,Non-Residential Area (Public Services) - Schools (Primary) Better Protected,Number,0,3,2,Source_2,Marcus Calderon,14/04/2023,09/08/2023,21/07/2023,Monthly,G,Project_Echo,12/07/2023,,In-Progress,"34.40083760113608, -24.990521526820817"
114,Non-Residential Area (Administrative) - Administrative Buildings Created,Number,4,3,1,Source_1,Cody Gardner,02/12/2022,01/03/2023,18/02/2023,Weekly,G,Project_Echo,23/06/2023,,Completion,"34.0423070464812, -24.816594157518708"
115,Local Community - Sustainability Better Protected,Pounds [Thousands] per person (£k / person),147,360,12,Source_2,Evelyn Guzman,06/08/2023,30/10/2023,08/10/2023,Fortnightly,R,Project_Foxtrot,26/06/2023,,Not Started,"35.901938083462134, -23.04839843819996"
116,Non-Residential Area (Public Services) - Hospitals Created,Number,0,3,2,Source_2,Cody Gardner,27/04/2023,07/11/2023,19/09/2023,Fortnightly,G,Project_Echo,28/06/2023,,In-Progress,"34.32593501700914, -24.97689516820612"
